Neighbourhood,sales,zipcode
Prospect Park South,2722500,11226
Cobble Hill,2273630,11201
Brooklyn Heights,1995666,11201
Park Slope,1640537,11215
Carroll Gardens,1523437,11231
Vinegar Hill,1336214,11201
Prospect Lefferts Gardens,1324500,11225
Manhattan Beach,1235032,11225
Fort Greene,1192666,11201
Flatbush - Ditmas Park,1144465,11226
Crown Heights,1107867,11226
Boerum Hill,1106666,11226
Greenpoint,1052679,11226
Prospect Heights,1039699,11226
Midwood,1019219,11226
Windsor Terrace,1004714,11226
Bay Ridge & Fort Hamilton,988603,11226
Downtown Brooklyn,983052,11201
Gowanus,937250,11215
Mill Basin,862003,11234
Clinton Hill,845434,11215
Columbia Street Waterfront District,817166,11231
Kensington & Parkville,799375,11231
Williamsburg,746075,11231
Dyker Heights,736916,11228
Mapleton,721250,11204
Bensonhurst,663458,11214
Gravesend,660178,11223
Greenwood,659714,11232
Bedford - Stuyvesant,644829,11221
Bath Beach,638334,11214
Sheepshead Bay,632012,11235
Borough Park,630912,11219
Brighton Beach,620045,11235
Marine Park,572843,11234
Bergen Beach,572000,11234
Sunset Park,499358,11220
Bushwick,490666,11221
Flatlands,481653,11236
Coney Island,439000,11224
Sea Gate,435666,11224
East Flatbush,433102,11203
Gerritsen Beach,401888,11229
Canarsie,380812,11236
Cypress Hills,372814,11208
East New York,310300,11208
Brownsville,286000,11212
