"","zipcode","sales","totaltoilet”
"1",10001,4715842.74698795,2
"2",10002,674809.339393939,6
"3",10009,739795.425,2
"4",10010,1430605.53684211,2
"5",10012,2371435.32768362,1
"6",10013,2568267.1030303,2
"7",10016,1030771.33697632,1
"8",10017,1622770.76027397,1
"9",10018,14560663.0555556,1
"10",10021,2299233.4717608,2
"11",10023,1576110.06743738,1
"12",10024,1385380.64448669,10
"13",10025,1051609.89165187,10
"14",10026,563155.08974359,1
"15",10027,781702.751879699,7
"16",10028,1651566.76007678,1
"17",10029,1762420.37209302,4
"18",10030,838877.418604651,6
"19",10031,598269.182926829,3
"20",10032,811886.306666667,3
"21",10033,563704.569767442,4
"22",10034,752725.639344262,3
"23",10035,1350702.475,2
"24",10036,2875487.68141593,2
"25",10037,883543.294117647,3
"26",10038,849170.72027972,1
"27",10039,1136107.76470588,4
"28",10040,661012.054054054,3
"29",10128,1590538.53319502,1
"30",10280,1562942.21088435,2
"31",10463,1974777,3
