"","zipcode","sales","population","NumberofRestrooms","borough"
"1",10002,1250000,81410,54,"Manhattan"
"2",10009,1000751,61347,20,"Manhattan"
"3",10010,2017624,31834,15,"Manhattan"
"4",10012,4458312.5,24090,3,"Manhattan"
"5",10012,4458312.5,24090,3,"Manhattan"
"6",10013,2895718,27700,9,"Manhattan"
"7",10013,2895718,27700,9,"Manhattan"
"8",10013,2895718,27700,9,"Manhattan"
"9",10016,1306666,54183,18,"Manhattan"
"10",10017,1027833.5,16575,5,"Manhattan"
"11",10017,1027833.5,16575,5,"Manhattan"
"12",10018,1620000,5229,2,"Manhattan"
"13",10024,1660517,59283,41,"Manhattan"
"14",10027,832342.5,59707,49,"Manhattan"
"15",10027,832342.5,59707,49,"Manhattan"
"16",10029,787285,76003,56,"Manhattan"
"17",10031,2100000,56438,20,"Manhattan"
"18",10032,495000,57331,24,"Manhattan"
"19",10032,495000,57331,24,"Manhattan"
"20",10034,381666,38908,19,"Manhattan"
"21",10034,381666,38908,19,"Manhattan"
"22",10040,689750,41905,21,"Manhattan"
"23",10301,498324.75,39706,25,"Staten Island"
"24",10301,498324.75,39706,25,"Staten Island"
"25",10301,498324.75,39706,25,"Staten Island"
"26",10301,498324.75,39706,25,"Staten Island"
"27",10302,488418,19088,6,"Staten Island"
"28",10302,488418,19088,6,"Staten Island"
"29",10303,229875,26337,7,"Staten Island"
"30",10305,356669.75,41749,16,"Staten Island"
"31",10305,356669.75,41749,16,"Staten Island"
"32",10305,356669.75,41749,16,"Staten Island"
"33",10305,356669.75,41749,16,"Staten Island"
"34",10306,521843.25,55909,24,"Staten Island"
"35",10306,521843.25,55909,24,"Staten Island"
"36",10306,521843.25,55909,24,"Staten Island"
"37",10306,521843.25,55909,24,"Staten Island"
"38",10308,396584.666666667,27357,11,"Staten Island"
"39",10308,396584.666666667,27357,11,"Staten Island"
"40",10308,396584.666666667,27357,11,"Staten Island"
"41",10309,543745,32519,7,"Staten Island"
"42",10310,332000,24962,11,"Staten Island"
"43",10312,459354.75,59304,14,"Staten Island"
"44",10312,459354.75,59304,14,"Staten Island"
"45",10312,459354.75,59304,14,"Staten Island"
"46",10312,459354.75,59304,14,"Staten Island"
"47",10314,355035.285714286,85510,29,"Staten Island"
"48",10314,355035.285714286,85510,29,"Staten Island"
"49",10314,355035.285714286,85510,29,"Staten Island"
"50",10314,355035.285714286,85510,29,"Staten Island"
"51",10314,355035.285714286,85510,29,"Staten Island"
"52",10314,355035.285714286,85510,29,"Staten Island"
"53",10314,355035.285714286,85510,29,"Staten Island"
"54",10453,355000,78309,41,"Bronx"
"55",10459,335894.333333333,47308,34,"Bronx"
"56",10459,335894.333333333,47308,34,"Bronx"
"57",10459,335894.333333333,47308,34,"Bronx"
"58",10461,431068.5,50502,30,"Bronx"
"59",10461,431068.5,50502,30,"Bronx"
"60",10461,431068.5,50502,30,"Bronx"
"61",10461,431068.5,50502,30,"Bronx"
"62",10462,240550,75784,24,"Bronx"
"63",10462,240550,75784,24,"Bronx"
"64",10462,240550,75784,24,"Bronx"
"65",10463,474952,67970,34,"Bronx"
"66",10463,474952,67970,34,"Bronx"
"67",10466,353895,67813,34,"Bronx"
"68",10467,375166.5,97060,37,"Bronx"
"69",10467,375166.5,97060,37,"Bronx"
"70",10469,424554.375,66631,33,"Bronx"
"71",10469,424554.375,66631,33,"Bronx"
"72",10469,424554.375,66631,33,"Bronx"
"73",10469,424554.375,66631,33,"Bronx"
"74",10469,424554.375,66631,33,"Bronx"
"75",10469,424554.375,66631,33,"Bronx"
"76",10469,424554.375,66631,33,"Bronx"
"77",10469,424554.375,66631,33,"Bronx"
"78",10471,623510.25,22922,19,"Bronx"
"79",10471,623510.25,22922,19,"Bronx"
"80",10471,623510.25,22922,19,"Bronx"
"81",10471,623510.25,22922,19,"Bronx"
"82",10473,336916.5,58519,28,"Bronx"
"83",10473,336916.5,58519,28,"Bronx"
"84",11101,1119753,25484,28,"Queens"
"85",11103,648733,38780,9,"Queens"
"86",11201,1556245.6,51128,37,"Brooklyn"
"87",11201,1556245.6,51128,37,"Brooklyn"
"88",11201,1556245.6,51128,37,"Brooklyn"
"89",11201,1556245.6,51128,37,"Brooklyn"
"90",11201,1556245.6,51128,37,"Brooklyn"
"91",11203,433102,76174,49,"Brooklyn"
"92",11204,721250,78134,49,"Brooklyn"
"93",11208,341557,94469,35,"Brooklyn"
"94",11208,341557,94469,35,"Brooklyn"
"95",11212,286000,84500,57,"Brooklyn"
"96",11214,650896,88630,27,"Brooklyn"
"97",11214,650896,88630,27,"Brooklyn"
"98",11215,1141073.66666667,63488,36,"Brooklyn"
"99",11215,1141073.66666667,63488,36,"Brooklyn"
"100",11215,1141073.66666667,63488,36,"Brooklyn"
"101",11219,630912,92221,52,"Brooklyn"
"102",11220,499358,99598,23,"Brooklyn"
"103",11221,567747.5,78895,47,"Brooklyn"
"104",11221,567747.5,78895,47,"Brooklyn"
"105",11223,660178,78731,26,"Brooklyn"
"106",11224,437333,47621,20,"Brooklyn"
"107",11224,437333,47621,20,"Brooklyn"
"108",11225,1279766,56829,24,"Brooklyn"
"109",11225,1279766,56829,24,"Brooklyn"
"110",11226,1242934.66666667,101572,32,"Brooklyn"
"111",11226,1242934.66666667,101572,32,"Brooklyn"
"112",11226,1242934.66666667,101572,32,"Brooklyn"
"113",11226,1242934.66666667,101572,32,"Brooklyn"
"114",11226,1242934.66666667,101572,32,"Brooklyn"
"115",11226,1242934.66666667,101572,32,"Brooklyn"
"116",11226,1242934.66666667,101572,32,"Brooklyn"
"117",11226,1242934.66666667,101572,32,"Brooklyn"
"118",11226,1242934.66666667,101572,32,"Brooklyn"
"119",11229,401888,80018,32,"Brooklyn"
"120",11231,971513.25,33336,20,"Brooklyn"
"121",11231,971513.25,33336,20,"Brooklyn"
"122",11231,971513.25,33336,20,"Brooklyn"
"123",11231,971513.25,33336,20,"Brooklyn"
"124",11234,668948.666666667,87757,28,"Brooklyn"
"125",11234,668948.666666667,87757,28,"Brooklyn"
"126",11234,668948.666666667,87757,28,"Brooklyn"
"127",11235,626028.5,79132,36,"Brooklyn"
"128",11235,626028.5,79132,36,"Brooklyn"
"129",11236,431232.5,93877,38,"Brooklyn"
"130",11236,431232.5,93877,38,"Brooklyn"
"131",11354,531748.666666667,54878,17,"Queens"
"132",11354,531748.666666667,54878,17,"Queens"
"133",11354,531748.666666667,54878,17,"Queens"
"134",11356,740558,23438,6,"Queens"
"135",11357,795799,39150,14,"Queens"
"136",11358,692186,37546,12,"Queens"
"137",11362,865190,17823,8,"Queens"
"138",11362,865190,17823,8,"Queens"
"139",11364,981150,34555,12,"Queens"
"140",11366,796926.666666667,13532,16,"Queens"
"141",11366,796926.666666667,13532,16,"Queens"
"142",11366,796926.666666667,13532,16,"Queens"
"143",11367,476846,41047,19,"Queens"
"144",11368,433269,109931,23,"Queens"
"145",11368,433269,109931,23,"Queens"
"146",11368,433269,109931,23,"Queens"
"147",11372,664763,66636,15,"Queens"
"148",11373,583777,100820,27,"Queens"
"149",11377,623851,89830,15,"Queens"
"150",11379,627696,34821,10,"Queens"
"151",11385,507745,98592,21,"Queens"
"152",11385,507745,98592,21,"Queens"
"153",11411,423140,18556,15,"Queens"
"154",11412,403524,34882,11,"Queens"
"155",11414,507618.25,26148,8,"Queens"
"156",11414,507618.25,26148,8,"Queens"
"157",11414,507618.25,26148,8,"Queens"
"158",11414,507618.25,26148,8,"Queens"
"159",11415,684857,19341,6,"Queens"
"160",11418,428999,36256,18,"Queens"
"161",11421,455046,39127,6,"Queens"
"162",11423,445111,29987,9,"Queens"
"163",11429,424115,25105,8,"Queens"
"164",11432,647049,60809,32,"Queens"
"165",11432,647049,60809,32,"Queens"
"166",11434,401177,59129,26,"Queens"
"167",11692,491500,18540,6,"Queens"
"168",11692,491500,18540,6,"Queens"
"169",11693,319200,11916,8,"Queens"
"170",11694,525409,20408,18,"Queens"
"171",11694,525409,20408,18,"Queens"
